647989,965402,907396,37361,978138,242014,621677,582990
101353,796777,147,554464,36299,301672,541989,579173
1040733,820161,350233,776640,423930,620522,719591,1014070
402022,43073,606722,187264,691062,523548,46084,728424
288098,301525,1036101,542873,747644,302131,250372,469090
665934,770169,473729,757016,762326,245314,58673,490391
679195,161406,634739,19658,563429,677812,626380,750693
101353,796777,147,554464,36299,301672,541989,579173
844120,829545,469830,521006,446903,191423,994735,155343
191474,214016,395565,860719,893211,556971,446882,912870
